,Date,Open,High,Low,Close,Adj Close,Volume,SMA10,EMA10,SMA20,EMA20,SMA30,EMA30,SMA50,EMA50,SMA100,EMA100,SMA200,EMA200,RSI,STOCH_S,STOCH_M,CCI,ADX,ADX_D+,ADX_D-,AWS,MOM,MACD,MACD_S,STOCHRSI_K,STOCHRSI_D,WILLIAM,ULTIMATE
170,2015-05-25,212.39999389648438,212.97999572753906,210.1999969482422,211.13999938964844,185.60617065429688,417416800.0,210.0729995727539,210.5612660653636,208.38750076293945,208.6704286217233,207.42466684977214,206.70166307878742,203.17120056152345,202.3527104037175,191.11469985961915,189.7946237411171,,,56.23737890163551,87.49683668472163,91.83387498043537,84.1694877881536,7.171850931274174,17.18139314995851,19.019810428392038,5.546821998147408,0.7299957275390625,2.6750869986039163,2.67327462449474,68.00922747389832,69.34857300570569,-27.329175867744574,63.302112126186806
171,2015-06-01,211.94000244140625,212.6699981689453,208.97999572753906,209.77000427246094,184.4017791748047,546278200.0,210.4759994506836,210.41740028483585,208.79450073242188,208.77515011226973,207.63900044759114,206.89962057515345,203.44780059814454,202.64358467308,191.58219985961915,190.1901758308467,,,53.837345255284866,74.32717611415971,85.48992947088949,55.61891329738965,7.386116468000141,16.177079107760505,19.840646745405387,5.208293151855457,4.029998779296875,2.4442154132696032,2.627462782249713,50.747056328300445,63.80614929976167,-41.51131456155482,63.063929651421326
172,2015-06-08,209.63999938964844,212.08999633789062,207.69000244140625,210.00999450683594,184.61277770996094,537908100.0,210.83299865722657,210.34332650701768,209.0465003967285,208.89275434032365,207.83133341471355,207.10028986106846,203.73160034179688,202.93246349009004,192.00719985961913,190.58264748779698,,,54.206033891175004,64.0441883411944,75.28940038002526,35.004558278728084,7.954539400316177,15.047575084149159,20.502372358193448,4.621381288416245,3.5699920654296875,2.254623330484634,2.552894891896697,32.682537661235926,50.479607154478245,-39.02694454711742,60.59437294788959
173,2015-06-15,208.63999938964844,213.33999633789062,207.7899932861328,210.80999755859375,185.31607055664062,632747600.0,210.90999908447264,210.4281757891224,209.6145004272461,209.07534893253984,207.96900024414063,207.33962584155395,203.9838003540039,203.24138639473725,192.4235998535156,190.9831890733573,,,55.48242346000117,62.905466098437586,67.09227685126389,52.20727546758825,8.015361292364009,15.695117721517557,18.726281974368515,4.073586901496441,0.7700042724609375,2.144206718978694,2.4711572573130964,31.10832001204121,38.17930466719253,-30.745342596015025,59.848484856947564
175,2015-06-22,211.91000366210938,212.58999633789062,209.16000366210938,209.82000732421875,185.34295654296875,432762300.0,211.0970001220703,210.31759970459447,209.82800064086913,209.1462687793664,208.05633392333985,207.49965045333877,204.24800048828126,203.49937152922672,192.8306999206543,191.35619537535456,,,53.49534537382938,63.07800934482008,63.34255459481736,40.96252755326891,8.071838763551282,14.839527759313519,17.70545376709063,3.288410276525184,1.8700103759765625,1.9542889936153358,2.3677836045735443,29.55575935917188,31.115539010816345,-40.99368482240735,51.89497114677897
176,2015-06-29,208.0500030517578,209.8300018310547,205.27999877929688,207.30999755859375,183.12574768066406,625900000.0,210.66300048828126,209.77076295077615,209.704500579834,208.9713858059595,208.03333384195963,207.48741478271006,204.44000030517577,203.64880784410386,193.19429992675782,191.67211225027017,,,48.730092709868096,52.82198460832087,59.60182001719286,-98.93989083760597,9.228191977748008,13.7673778484516,22.587310072387297,2.31302876191981,-4.339996337890625,1.5829932560458246,2.2108255348680004,20.55986832351034,27.074649231574487,-69.79501875661502,48.188623002129965
177,2015-07-06,205.77000427246094,208.1699981689453,204.11000061035156,207.47999572753906,183.27589416503906,729385700.0,210.33899993896483,209.3542598192785,209.51650009155273,208.82934865563374,208.25300038655598,207.48693613398936,204.6352001953125,203.79905050619936,193.57599990844727,191.98513964585965,,,49.06105112784316,41.35376807727935,52.41792067680677,-120.0235044356213,10.584150084016958,12.873591099270698,22.991791272768015,1.3124999551212113,-3.2400054931640625,1.2876133354608328,2.026183094986567,6.787599079049121,18.96774225391046,-65.1499921891396,52.07367848942837
178,2015-07-13,208.99000549316406,212.5500030517578,208.94000244140625,212.47999572753906,187.69259643554688,481406400.0,210.425,209.92257543896224,209.6074996948242,209.17702932914852,208.45166676839193,207.80906901099257,205.03480010986328,204.13947973056563,194.0424998474121,192.39097838015033,,,57.708275672356955,50.537104941836226,48.237619209145485,78.7972209379243,10.251973549850797,18.77675941790593,21.145625426287324,1.3364415785845836,0.8600006103515625,1.4403770633733188,1.9090218886639176,28.633763649334114,18.6604103506312,-13.443674228736707,58.07079837793666
179,2015-07-20,212.75,213.17999267578125,207.60000610351562,208.0,183.73524475097656,445343800.0,209.9809997558594,209.57301626824184,209.63249969482422,209.06493129780105,208.43700002034504,207.82138713931565,205.33,204.29087268230816,194.45629989624024,192.70006791717705,,,49.585993781573244,53.877947547836925,48.589606855650835,4.8771105479475745,10.30734707295606,17.14503939745187,21.394918772103086,1.2115895439596613,-4.44000244140625,1.186270614801657,1.7644716338914654,31.26640913110202,22.229257286495088,-59.77249093861295,54.402325176866405
180,2015-07-27,206.94000244140625,211.4499969482422,206.25999450683594,210.5,185.94363403320312,556268500.0,209.73199920654298,209.74155876492514,209.8659996032715,209.20160450753428,208.6060002644857,207.99420087226304,205.62559997558594,204.53436787123727,194.92479995727538,193.0525418198072,,,53.51764659908389,64.28816762474628,56.23440670480648,-11.031252215130117,10.708943022732635,15.772151629350653,21.74918425898584,0.7508241990033184,-2.4900054931640625,1.1730958119059096,1.6461964694943545,44.974343750292476,34.95817217690955,-33.919331958411505,57.1500607343717
