,Date,Open,High,Low,Close,Adj Close,Volume,SMA10,EMA10,SMA20,EMA20,SMA30,EMA30,SMA50,EMA50,SMA100,EMA100,SMA200,EMA200,RSI,STOCH_S,STOCH_M,CCI,ADX,ADX_D+,ADX_D-,AWS,MOM,MACD,MACD_S,STOCHRSI_K,STOCHRSI_D,WILLIAM,ULTIMATE
67,1997-04-01,75.25,80.6875,73.3125,80.09375,51.33929443359375,57679300.0,73.178125,73.99137566448361,68.12890625,68.72996496448461,62.405208333333334,64.56277072318602,55.82,56.08615196078431,,,,,75.25319071278986,82.61025139728743,84.84054985388717,121.56190265459541,47.10037734988104,28.33568785079444,13.283420742363486,17.09935661764706,12.984375,6.618646854763469,5.87182156115053,29.276921840778485,40.10694448425997,-8.815028901734104,62.798007973959635
68,1997-05-01,80.21875,85.5625,79.3125,85.15625,54.58430480957031,37473400.0,75.284375,76.02135281639568,69.4625,70.29437306310513,63.723958333333336,65.89138228943209,56.619375,57.22615580545944,,,,,79.01618168495892,86.3120765740568,84.11349961641882,154.38027000358815,47.11446800495259,33.365690758412256,11.938075522309573,17.646645220588226,21.0625,7.11156702714959,6.119770654350343,24.80432202974093,31.31457311891848,-1.6129032258064515,65.6850205261607
69,1997-06-01,85.34375,90.5,84.078125,88.3125,56.607452392578125,47332500.0,77.5828125,78.25610684977828,70.9625,72.01038515233321,65.14895833333334,67.33790601269453,57.505,58.44522812681397,,,,,80.96006612466167,94.10355236135923,87.67529344423447,169.449116147979,47.729120261184896,37.751467617898115,10.735001287443085,18.670450367647064,22.984375,7.668495173296563,6.429515558139586,44.58691903350697,32.88938763467546,-7.261410788381743,63.28295909540628
71,1997-07-01,88.5,96.03125,88.390625,95.3125,61.33220291137695,65359700.0,80.2515625,81.35726924072767,72.6828125,74.22963418544434,66.75625,69.14271852800456,58.506875,59.89100349438989,,,,,84.40956161277651,96.36997011680143,92.26186635073914,186.77390527256486,48.811083468037914,41.6642561611882,9.496260256740143,19.862362132352942,26.6875,8.575849188958188,6.858782284303307,62.25261776904628,43.88128627743139,-2.0157756354075373,68.03000927372952
72,1997-08-01,95.5,96.625,89.34375,90.375,58.15504837036133,99046800.0,82.2046875,82.99685665150446,74.12734375,75.76728807254487,68.13489583333333,70.51254313910104,59.413125,61.08645433774715,,,,,74.19833204548247,91.16047808862197,93.87800018892756,153.63129096917487,49.86440035838467,38.14822739218412,8.499859969175096,21.38299632352941,19.53125,8.795133968306104,7.246052621103867,54.22240135218529,53.68731271824617,-17.24137931034483,60.44671739037814
73,1997-09-01,90.6875,96.375,90.25,94.375,60.728981018066406,78642200.0,84.040625,85.06560998759456,75.6625,77.53945111325488,69.61041666666667,72.05205648496549,60.40375,62.39188750097275,,,,,76.66151475148685,91.27768539556176,92.93604453366173,144.838464660343,50.842480327992384,34.83687598133155,7.76205312400714,23.253033088235284,18.359375,9.185797154766064,7.634001527836306,48.08644410835776,54.853821076529776,-6.90978886756238,62.41399494461184
75,1997-10-01,95.25,98.5,84.375,92.0625,59.45820617675781,137440500.0,85.8625,86.3377718080319,77.071875,78.92259862627823,70.959375,73.34305284077416,61.31375,63.55544093230715,,,,,72.36063175325809,85.66145431920798,89.36653926779724,114.423200434761,49.719265926300785,28.658768256236556,13.761751325768333,23.70330882352941,18.21875,9.202717917322829,7.947744805733611,25.43929776046553,42.58271440700286,-18.864468864468865,65.12960914882787
76,1997-11-01,93.1875,96.8125,90.09375,95.625,61.75905227661133,93157400.0,87.584375,88.0263587520261,78.61875,80.51330351901363,72.35885416666666,74.78059781878873,62.3075,64.81307069966765,,,,,74.71414025538422,88.2207775681864,88.38663909431871,118.38963007187303,48.67628112473001,26.272081287675924,12.61567999918103,23.55399816176471,17.21875,9.395288680951964,8.237253580777281,26.621330606961497,33.38235749192826,-9.563409563409563,64.40070201208484
77,1997-12-01,96.21875,99.0,92.375,97.0625,62.68745803833008,79162300.0,89.375,89.66929352438498,80.20234375,82.08941746958376,73.78072916666666,76.21813989499591,63.311875,66.07775420164147,,,,,75.61638310595423,88.2764421916135,87.38622469300263,116.04414448084063,48.031482060137705,26.820250753273367,11.590668992381833,22.849034926470594,17.90625,9.553766758656238,8.500556216353074,24.226293245754597,25.42897387106054,-6.742794997281131,63.007207155611766
79,1998-01-01,97.3125,99.5625,90.90625,98.3125,63.7474479675293,104582300.0,91.66875,91.24078561086044,81.77421875,83.63447294867103,75.1859375,77.64358248241554,64.35125,67.34186188000847,,,,,76.40480054270908,93.05970758435969,89.85230911471986,102.9375092626365,46.9532021222351,24.06857740347187,12.142315864021933,21.95551470588235,22.9375,9.668770759607952,8.73419912500405,34.29702479957437,28.381549550763484,-4.514672686230249,64.97296109395543
80,1998-02-01,99.90625,105.53125,99.71875,105.125,68.16476440429688,69733700.0,94.171875,93.76518822706764,83.675,85.68118981070236,76.80989583333333,79.41657716096938,65.521875,68.82355357098852,,,,,80.16835365394323,95.83441893867065,92.39018957154794,133.90854478310445,46.784607771186124,29.01378088344052,11.117905602277915,22.295726102941174,25.03125,10.192135481041817,9.025786396211604,48.12942849318964,35.55091551283953,-1.2392755004766445,66.21809892184544
81,1998-03-01,105.25,111.53125,103.15625,109.9375,71.28527069091797,87316900.0,96.65,96.70560854941898,85.9671875,87.99131459063547,78.525,81.38566895703588,66.75625,70.43586519565564,,,,,82.31441766367955,96.69199274125306,95.19537308809447,146.51757982358063,47.254837869909565,33.078698482830305,10.057725453591432,23.86438419117647,24.78125,10.869932508022302,9.394615618573745,65.11463265002605,49.180361980930016,-4.170073589533933,71.27618823531215
83,1998-04-01,110.3125,113.4375,107.625,111.34375,72.40457916259766,118629400.0,98.953125,99.36708881316099,88.26796875,90.21535605819399,80.29270833333334,83.31844837916259,68.046875,72.0400959722966,,,,,82.89683833339622,96.45752745805463,96.32797971265944,147.57104629953997,47.86269137833303,33.05987042668565,9.388581583545514,25.61594669117646,23.03125,11.389275677217569,9.793547630302509,80.9067907290746,64.71695062409675,-5.218068535825545,71.42480398610103
84,1998-05-01,111.75,113.3125,107.578125,109.03125,70.90076446533203,116264800.0,100.325,101.1242090289499,90.28828125,92.0073459574136,81.896875,84.97733880631338,69.335625,73.49072946357909,,,,,78.32867042037151,93.2101831544752,95.45323445126097,130.21320075261983,48.412002615642095,30.877306636532214,8.822727396167817,26.950091911764716,13.71875,11.48190322371282,10.13121874898457,74.40093972158374,73.47412103356147,-10.981308411214954,71.60926211586626
85,1998-06-01,108.96875,114.6875,107.5,113.3125,73.68475341796875,141993600.0,102.61875,103.3402619327772,92.41171875,94.03640824718374,83.62447916666666,86.8054137220351,70.7,75.05236752383088,,,,,80.4739861445282,93.3045657526355,94.32409212172178,132.17861781882527,49.05279378597252,29.916156035959162,8.100835658437942,28.504779411764716,22.9375,11.765150979813498,10.458005195150356,68.60970713224009,74.63914586096614,-3.8869257950530036,71.5332722566228
87,1998-07-01,114.0625,119.234375,111.3125,111.78125,72.9203109741211,155280200.0,104.359375,104.87498703590862,94.2,95.7263931760234,85.228125,88.41675799803284,72.019375,76.49271585622967,,,,,77.51822277609287,87.97725526457735,91.49733472389602,133.41136953534541,50.037077504416004,32.348761460129694,7.383734997106717,29.338924632352942,17.40625,11.730841945649487,10.712572545250183,53.22459976537495,65.41174887306626,-21.2,63.57246454516501
88,1998-08-01,111.78125,112.421875,95.0,96.0,62.625484466552734,268542800.0,104.753125,103.26135302937978,95.3078125,95.75245096878307,86.29895833333333,88.9059994175146,73.05,77.25770739127948,,,,,55.068999613365364,69.42044950713235,83.56742350811506,42.28688927629524,47.10490059611401,26.74217398263287,22.332067785133482,27.274586397058826,3.9375,10.31137370582698,10.632332777365542,36.71403620856584,52.849447702060296,-66.65172568354998,48.78338820143057
